date,hld_label,holiday,season,weekend
2016-1-1,元旦,2,win_1,0
2016-1-2,元旦,2,win_1,1
2016-1-3,元旦,2,win_1,1
2016-1-4,,0,win_1,0
2016-1-5,,0,win_1,0
2016-1-6,,0,win_1,0
2016-1-7,,0,win_1,0
2016-1-8,,0,win_1,0
2016-1-9,,0,win_1,1
2016-1-10,,0,win_1,1
2016-1-11,,0,win_1,0
2016-1-12,,0,win_1,0
2016-1-13,,0,win_1,0
2016-1-14,,0,win_1,0
2016-1-15,,0,win_1,0
2016-1-16,,0,win_1,1
2016-1-17,,0,win_1,1
2016-1-18,,0,win_1,0
2016-1-19,,0,win_1,0
2016-1-20,,0,win_1,0
2016-1-21,,0,win_1,0
2016-1-22,,0,win_1,0
2016-1-23,,0,win_1,1
2016-1-24,,0,win_1,1
2016-1-25,,0,win_1,0
2016-1-26,,0,win_1,0
2016-1-27,,0,win_1,0
2016-1-28,,0,win_1,0
2016-1-29,,0,win_1,0
2016-1-30,,0,win_1,1
2016-1-31,,0,win_1,1
2016-2-1,小年,1,win_2,0
2016-2-2,,0,win_2,0
2016-2-3,,0,win_2,0
2016-2-4,,0,win_2,0
2016-2-5,,0,win_2,0
2016-2-6,,0,win_2,1
2016-2-7,除夕,1,win_2,1
2016-2-8,春节,2,win_2,0
2016-2-9,春节,2,win_2,0
2016-2-10,春节,2,win_2,0
2016-2-11,春节,2,win_2,0
2016-2-12,春节,2,win_2,0
2016-2-13,情人节,1,win_2,1
2016-2-14,,0,win_2,1
2016-2-15,,0,win_2,0
2016-2-16,,0,win_2,0
2016-2-17,,0,win_2,0
2016-2-18,,0,win_2,0
2016-2-19,,0,win_2,0
2016-2-20,,0,win_2,1
2016-2-21,,0,win_2,1
2016-2-22,元宵节,1,win_2,0
2016-2-23,,0,win_2,0
2016-2-24,,0,win_2,0
2016-2-25,,0,win_2,0
2016-2-26,,0,win_2,0
2016-2-27,,0,win_2,1
2016-2-28,,0,win_2,1
2016-2-29,,0,win_2,0
2016-3-1,,0,spr_0,0
2016-3-2,,0,spr_0,0
2016-3-3,,0,spr_0,0
2016-3-4,,0,spr_0,0
2016-3-5,,0,spr_0,1
2016-3-6,,0,spr_0,1
2016-3-7,,0,spr_0,0
2016-3-8,妇女节,1,spr_0,0
2016-3-9,,0,spr_0,0
